631	4	0	2
628	8	0	0
599	14	0	0
540	24	0	1
458	42	0	2
362	71	0	4
266	115	0	6
178	177	0	7
107	255	0	6
58	340	0	5
26	422	0	3
8	492	0	1
12	539	0	0
35	556	0	0
72	542	0	0
123	498	0	2
191	429	0	6
265	345	0	12
337	254	0	21
399	167	0	31
445	99	0	40
467	49	0	45
461	18	6	45
425	2	23	41
364	0	53	34
284	0	97	26
198	0	156	21
123	0	223	21
65	1	290	26
26	3	350	36
4	4	394	47
0	4	416	57
0	4	416	61
0	4	395	58
0	4	356	47
0	8	305	34
0	13	247	20
12	18	189	9
43	22	132	2
99	24	83	4
186	22	46	9
307	19	21	15
452	17	6	20
606	17	0	23
750	20	0	22
869	24	0	17
945	27	0	11
969	27	0	5
937	24	0	1
855	18	0	3
733	11	0	15
590	6	0	37
445	2	0	74
314	0	0	127
206	0	0	196
124	0	0	277
68	0	2	363
34	0	19	446
13	0	55	516
2	0	116	564
0	0	205	580
0	0	326	562
0	0	470	511
0	0	629	434
0	0	793	343
0	0	950	251
0	0	1080	168
0	0	1163	101
0	0	1181	54
0	0	1130	25
0	0	1017	9
0	0	864	1
0	0	704	0
0	0	566	0
0	0	475	3
0	0	442	9
0	0	466	17
0	0	537	27
0	0	640	37
0	0	752	45
0	0	854	49
0	0	921	51
0	0	938	52
0	0	897	53
0	0	802	55
0	0	669	56
0	10	518	56
0	35	374	53
0	77	249	48
0	139	153	41
0	221	85	33
0	307	43	27
0	387	18	23
0	447	6	19
0	477	5	14
0	474	9	10
0	439	13	7
0	376	17	3
0	297	18	0
0	212	15	13
0	134	11	43
0	75	6	94
0	33	2	170
0	8	0	274
0	0	0	396
0	0	4	521
0	1	17	634
0	2	45	716
0	4	95	754
0	7	178	738
0	10	298	671
0	13	453	564
0	15	637	435
0	15	833	303
0	13	1018	187
0	10	1166	102
0	6	1252	45
0	3	1263	13
0	1	1195	0
0	0	1063	0
0	0	891	0
0	0	713	4
0	0	563	8
0	0	469	11
0	0	449	13
0	0	501	13
0	0	614	11
0	0	758	7
0	0	899	3
0	0	1004	0
0	0	1049	0
0	0	1022	0
0	0	926	0
0	4	774	0
0	18	593	0
0	45	406	0
0	86	249	3
0	145	130	9
0	217	52	16
0	295	10	23
0	368	0	29
0	425	0	31
10	454	0	29
33	450	0	25
70	412	0	20
124	344	2	15
194	260	6	9
272	172	10	6
351	102	16	3
427	49	23	1
493	17	28	0
544	1	29	0
580	0	26	0
599	0	20	0
606	0	14	0
608	0	8	0
612	0	3	0
624	0	0	0
642	0	0	0
658	0	0	0
664	0	0	0
647	0	0	0
601	0	0	0
525	11	0	0
427	41	0	0
318	94	0	0
213	175	0	0
126	286	0	0
64	412	0	2
26	536	0	5
11	636	0	7
13	696	0	8
22	704	0	10
33	658	0	14
43	567	0	22
52	446	0	39
57	317	0	70
60	199	0	116
60	109	0	179
58	48	0	259
55	13	0	354
51	0	0	456
49	0	0	553
57	0	0	630
81	0	0	672
128	1	0	667
200	3	0	614
297	7	0	521
410	9	0	405
528	9	0	285
631	9	0	180
704	7	6	101
734	4	14	49
715	1	20	19
651	0	26	6
550	0	32	2
430	0	42	0
305	0	60	0
192	0	98	2
107	0	159	8
50	0	239	16
15	0	327	25
0	0	409	35
0	0	468	45
0	0	493	51
0	0	479	55
0	0	429	56
0	0	352	56
4	0	261	53
14	0	170	48
34	0	99	41
73	0	46	34
137	0	13	26
228	0	0	20
344	0	0	15
474	0	0	10
600	0	0	7
702	0	1	4
763	0	2	2
776	0	5	0
744	0	8	0
685	0	11	1
616	0	12	2
562	0	11	3
538	0	9	4
550	0	6	4
594	2	3	4
656	6	0	3
712	10	0	1
743	13	3	0
730	16	16	0
670	16	39	0
566	13	78	0
436	9	137	0
300	5	215	0
182	1	304	0
95	0	394	0
38	0	473	0
8	0	526	0
0	2	546	0
0	6	531	0
0	9	490	0
0	12	438	0
0	13	401	0
0	12	400	0
1	9	457	0
4	8	580	0
6	8	765	0
7	11	990	0
7	15	1222	0
6	18	1420	0
4	19	1548	0
2	17	1580	0
0	13	1507	0
0	12	1342	0
0	19	1110	0
0	40	844	0
0	79	579	0
0	139	355	0
0	214	190	0
0	300	80	0
0	383	19	1
0	453	0	4
0	498	0	8
12	508	0	13
40	482	0	18
87	425	0	21
154	347	0	20
243	260	0	17
341	178	0	12
437	109	0	7
520	60	0	3
576	28	0	1
596	10	0	0
577	4	0	0
519	19	0	2
431	54	0	8
325	116	0	18
215	207	0	28
128	325	0	39
63	456	0	47
22	578	0	47
0	671	0	44
5	716	0	37
32	704	0	29
81	638	0	22
154	533	0	17
249	407	0	11
361	281	0	8
466	172	0	5
551	93	0	2
603	42	0	0
613	13	0	0
582	0	0	0
510	0	0	0
410	0	15	0
295	3	47	0
189	11	99	0
105	21	171	0
45	31	265	0
10	41	362	0
0	45	449	0
0	42	514	0
0	33	543	0
1	22	534	0
7	12	489	0
16	5	413	0
26	0	321	0
34	0	225	0
40	0	140	0
40	0	77	0
32	0	34	2
23	0	9	14
13	0	0	37
5	0	0	74
1	0	0	130
0	1	0	201
0	3	0	277
0	4	0	346
0	4	0	397
0	4	0	418
0	3	0	405
0	2	0	359
0	15	0	289
0	52	0	206
0	118	0	131
0	217	0	72
0	348	0	30
0	492	0	7
0	629	0	0
0	736	0	0
0	795	0	0
0	796	0	0
1	739	0	0
5	634	7	0
10	498	28	0
15	351	66	0
20	220	123	0
24	121	198	0
26	51	280	0
26	12	353	0
26	0	403	0
28	0	422	0
30	0	408	0
30	0	362	0
28	0	296	0
29	0	221	0
43	0	148	0
82	0	88	0
157	0	45	0
272	0	17	0
421	0	3	0
589	0	0	0
755	0	0	1
900	0	0	1
1011	0	0	1
1077	0	0	1
1093	0	0	0
1055	0	4	0
963	0	23	0
823	0	62	0
647	0	127	0
456	0	221	0
286	0	339	0
155	0	459	0
64	0	560	2
13	0	624	4
0	0	638	6
0	0	602	9
0	0	533	10
0	0	455	9
0	0	401	7
0	0	397	5
0	0	462	2
0	0	600	0
0	0	794	0
0	0	1017	0
0	0	1225	0
